Timestep,Reward
2,-2.1705
415,3.711
848,6.4715
1282,6.3515
1719,5.777
2159,6.6165
2659,25.1485
3070,26.104
3500,25.4495
3978,24.278
4474,31.4365
4936,31.0385
5412,31.036
5866,31.901
6301,31.121
6751,29.6675
7215,30.126
7661,32.231
8113,31.022
8569,32.4515
9027,31.445
9478,33.2745
9914,32.652
10364,34.1795
10805,33.8505
11259,34.7135
11725,35.391
12159,33.644
12592,34.7405
13057,34.816
13502,34.497
13950,35.764
14391,37.2525
14837,36.1135
15290,36.427
15711,36.7885
16159,36.439
16587,35.029
17037,34.8165
17472,37.5085
17885,35.6905
18357,36.8495
18796,36.6805
19205,34.281
19639,34.424
20102,34.8835
20549,35.8035
20981,36.2375
21442,34.9675
21905,34.8995
22352,34.9765
22812,36.1055
23245,36.1515
23719,35.8805
24156,36.739
24610,35.7865
25108,37.604
25561,36.1915
26005,36.8395
26457,35.088
26909,35.093
27397,37.257
27837,36.4305
28330,36.977
28755,35.0925
29222,34.809
29671,34.7945
30120,35.415
30602,36.414
31056,35.8805
31519,36.0125
31990,35.981
32414,35.481
32876,36.38
33335,36.0035
33804,36.6775
34325,35.875
34783,36.703
35278,35.1815
35728,35.902
36226,35.9915
36666,37.4135
37123,34.4535
37613,36.871
38095,36.395
38566,35.563
39043,36.376
39491,35.9545
40010,35.9095
40472,35.384
40925,33.8315
41369,36.285
41832,35.111
42285,35.2895
42770,36.5145
43231,35.2925
43642,36.448
44071,36.546
44573,36.3355
45051,35.742
